#Timestamp (UTC_TIME),VARIABLE: TT60.BCTFI.610225:INT_HBW_EXTR1
2016-08-16 00:00:31.335,12.727
2016-08-16 00:01:38.535,12.305
2016-08-16 00:02:12.135,11.978
2016-08-16 00:02:45.735,11.611
2016-08-16 00:03:19.335,11.879
2016-08-16 00:03:52.935,0
2016-08-16 00:06:07.335,11.472
2016-08-16 00:06:40.935,11.781
2016-08-16 00:07:14.535,12.42
2016-08-16 00:07:48.135,12.682
2016-08-16 00:08:55.335,11.946
2016-08-16 00:09:28.935,11.644
2016-08-16 00:10:02.535,12.472
2016-08-16 00:11:09.735,0
2016-08-16 00:13:24.135,11.577
2016-08-16 00:13:57.735,0
2016-08-16 00:15:04.935,12.14
2016-08-16 00:15:38.535,0
2016-08-16 00:16:12.135,12.294
2016-08-16 00:16:45.735,11.944
2016-08-16 00:17:52.935,12.895
2016-08-16 00:18:26.535,11.738
2016-08-16 00:19:00.135,12.591
2016-08-16 00:20:40.935,11.405
2016-08-16 00:21:14.535,12.061
2016-08-16 00:21:48.135,0
2016-08-16 00:26:16.935,12.367
2016-08-16 00:26:50.535,0
2016-08-16 00:31:19.335,12.2
2016-08-16 00:31:52.935,10.963
2016-08-16 00:32:26.535,12.123
2016-08-16 00:33:33.735,12.643
2016-08-16 00:34:07.335,12.304
2016-08-16 00:35:14.535,11.461
2016-08-16 00:35:48.135,12.746
2016-08-16 00:36:21.735,11.889
2016-08-16 00:36:55.335,12.516
2016-08-16 00:37:28.935,11.637
2016-08-16 00:38:02.535,12.151
2016-08-16 00:38:36.135,12.777
2016-08-16 00:39:09.735,12.13
2016-08-16 00:39:43.335,11.382
2016-08-16 00:40:16.935,11.937
2016-08-16 00:41:24.135,12.527
2016-08-16 00:41:57.735,11.908
2016-08-16 00:42:31.335,12.212
2016-08-16 00:43:04.935,12.973
2016-08-16 00:43:38.535,11.928
2016-08-16 00:44:45.735,12.375
2016-08-16 00:45:19.335,12.823
2016-08-16 00:45:52.935,12.267
2016-08-16 00:47:00.135,11.985
2016-08-16 00:47:33.735,12.26
2016-08-16 00:48:07.335,12.812
2016-08-16 00:48:40.935,11.89
2016-08-16 00:49:14.535,12.452
2016-08-16 00:49:48.135,12.03
2016-08-16 00:50:21.735,12.783
2016-08-16 00:50:55.335,13.044
2016-08-16 00:51:28.935,11.753
2016-08-16 00:52:02.535,12.084
2016-08-16 00:53:09.735,11.791
2016-08-16 00:53:43.335,12.858
2016-08-16 00:54:16.935,12.268
2016-08-16 00:55:24.135,12.659
2016-08-16 00:55:57.735,12.231
2016-08-16 00:57:04.935,12.972
2016-08-16 00:57:38.535,12.265
2016-08-16 00:58:12.135,11.788
2016-08-16 00:58:45.735,12.364
2016-08-16 00:59:19.335,0
2016-08-16 01:07:43.335,6.746
2016-08-16 01:09:24.135,7.071
2016-08-16 01:09:57.735,6.647
2016-08-16 01:10:31.335,6.19
2016-08-16 01:11:04.935,6.815
2016-08-16 01:11:38.535,6.527
2016-08-16 01:12:12.135,6.722
2016-08-16 01:12:45.735,6.295
2016-08-16 01:13:52.935,6.779
2016-08-16 01:15:33.735,6.448
2016-08-16 01:16:07.335,7.001
2016-08-16 01:16:40.935,6.624
2016-08-16 01:17:48.135,6.355
2016-08-16 01:18:21.735,6.596
2016-08-16 01:18:55.335,6.811
2016-08-16 01:19:28.935,6.607
2016-08-16 01:20:02.535,6.882
2016-08-16 01:20:36.135,6.611
2016-08-16 01:21:43.335,6.436
2016-08-16 01:22:16.935,6.59
2016-08-16 01:23:24.135,6.8
2016-08-16 01:24:31.335,6.553
2016-08-16 01:26:12.135,6.408
2016-08-16 01:26:45.735,6.555
2016-08-16 01:27:52.935,6.878
2016-08-16 01:28:26.535,6.693
2016-08-16 01:29:33.735,6.331
2016-08-16 01:30:07.335,6.708
2016-08-16 01:30:40.935,6.255
2016-08-16 01:31:14.535,7.129
2016-08-16 01:31:48.135,6.754
2016-08-16 01:34:02.535,6.153
2016-08-16 01:34:36.135,6.94
2016-08-16 01:36:16.935,6.516
2016-08-16 01:36:50.535,6.382
2016-08-16 01:37:24.135,6.704
2016-08-16 01:37:57.735,6.33
2016-08-16 01:39:04.935,6.828
2016-08-16 01:39:38.535,6.992
2016-08-16 01:40:12.135,6.696
2016-08-16 01:40:45.735,6.992
2016-08-16 01:41:19.335,0
2016-08-16 02:41:48.135,0
2016-08-16 03:42:16.935,0
2016-08-16 04:42:45.735,0
2016-08-16 08:07:52.935,0
2016-08-16 09:08:21.735,0
2016-08-16 09:36:21.735,0.71
2016-08-16 09:36:55.335,0
2016-08-16 09:49:14.535,0.634
2016-08-16 09:49:48.135,0
2016-08-16 10:25:38.535,0.219
2016-08-16 10:26:12.135,0
2016-08-16 10:26:45.735,130.75
2016-08-16 10:27:19.335,0
2016-08-16 10:33:28.935,995.182
2016-08-16 10:34:02.535,0
2016-08-16 11:00:21.735,980.552
2016-08-16 11:03:43.335,0
2016-08-16 11:04:16.935,979.788
2016-08-16 11:06:31.335,0
2016-08-16 11:07:04.935,987.155
2016-08-16 11:09:19.335,0
2016-08-16 11:09:52.935,978.122
2016-08-16 11:12:07.335,0
2016-08-16 11:13:14.535,984.829
2016-08-16 11:15:28.935,0
2016-08-16 15:12:12.135,0
2016-08-16 15:15:33.735,6.693
2016-08-16 15:16:07.335,7.031
